DateTime,520MX051D01.FIC0028.MEAS,520D007D02.TI0058.MEAS,530R001D01.FI0043.MEAS,530E001D01.FIC0015.MEAS,530R001D01.FIC0030.MEAS,530R001D01.FIC0047.MEAS,530C021D01.FIC0203.MEAS,530R001D02.FIC0230.MEAS,530R002D02.LI0010.MEAS,530M102D01.LIC0011.MEAS,530R002D02.PDI0148.MEAS,530M105D01.PDIC0149.MEAS,530F001D01.PIC0023.MEAS,530R002D02.TI0037.MEAS,530F001D01.TIC0012.MEAS,530M105D01.TIC0022.MEAS,530UZ1099E01.TZI0068A.MEAS,530M103D01.ZI2103A.MEAS,530M104D01.ZI2104A.MEAS,530M105D01.ZI2105A.MEAS,535D005D01.LI0011.MEAS,535INT920D01.TI0046.MEAS,labels
2024-12-06 00:36:00,4.52622413635254,126.7734375,2653.95654296875,1204.64318847656,2569.84790039063,309.468322753906,136.497497558594,5.49545478820801,54.2502212524414,31.5561962127686,686.2890625,781.378112792969,1.4957811832428,728.810974121094,134.609375,684.94921875,150.610504150391,20.890625,20.876953125,66.98828125,13.5303268432617,57.099609375,0
2024-12-06 00:39:00,4.52622413635254,126.7734375,2657.29443359375,1205.99499511719,2566.39599609375,308.264495849609,136.590087890625,5.49545478820801,50.6642913818359,29.9651699066162,838.1640625,797.233459472656,1.4957811832428,729.120300292969,134.546875,685.060546875,150.479248046875,21.888671875,20.876953125,66.818359375,13.3067798614502,57.099609375,0
2024-12-06 00:42:00,4.52622413635254,126.638671875,2645.50390625,1203.60913085938,2571.56420898438,308.661254882813,136.407531738281,5.49545478820801,52.4731597900391,29.7359008789063,711.9921875,811.614501953125,1.4957811832428,729.223449707031,134.734375,685.8779296875,150.741760253906,21.32421875,20.876953125,66.78515625,13.4194288253784,57.095703125,0
2024-12-06 00:45:00,4.52622413635254,126.861328125,2651.84130859375,1206.23620605469,2566.99780273438,310.800964355469,136.676116943359,5.49545478820801,52.4451179504395,28.2074565887451,829.4140625,810.091125488281,1.4957811832428,729.309387207031,134.8125,685.705078125,150.610504150391,21.2109375,20.876953125,66.88671875,13.4194288253784,57.095703125,0
2024-12-06 00:48:00,4.52622413635254,127.107421875,2647.75341796875,1204.10961914063,2568.00439453125,308.334991455078,136.418670654297,5.49545478820801,55.0986404418945,28.4390182495117,745.234375,764.025146484375,1.4957811832428,729.0,134.984375,685.4765625,150.610504150391,21.0859375,20.876953125,67.078125,13.4318571090698,57.203125,0
2024-12-06 00:51:00,4.52622413635254,127.46484375,2650.82177734375,1203.63586425781,2566.56518554688,312.080749511719,136.572265625,5.49545478820801,52.6811065673828,27.9626865386963,744.140625,823.505126953125,1.4957811832428,729.618774414063,134.953125,683.82421875,150.610504150391,21.119140625,20.876953125,66.9609375,13.4344749450684,57.203125,0
2024-12-06 00:54:00,4.52622413635254,127.7109375,2651.06298828125,1208.1591796875,2568.6015625,311.665374755859,136.57893371582,5.49545478820801,52.1516342163086,31.940601348877,819.8046875,810.182373046875,1.4957811832428,729.309387207031,135.03125,685.400390625,150.741760253906,20.935546875,20.876953125,66.7578125,13.4377365112305,57.203125,0
2024-12-06 00:57:00,4.52622413635254,127.7109375,2653.37744140625,1204.94384765625,2573.82739257813,312.594360351563,136.711410522461,5.49545478820801,51.7955627441406,29.7022514343262,637.734375,828.085815429688,1.4957811832428,729.292175292969,135.109375,685.060546875,150.873016357422,21.6328125,20.876953125,66.765625,13.3366327285767,57.203125,0
2024-12-06 01:00:00,4.52622413635254,127.60546875,2652.85205078125,1204.95629882813,2573.24291992188,311.710906982422,136.628692626953,5.49545478820801,52.9712219238281,28.6643333435059,856.8359375,822.931640625,1.4957811832428,729.498474121094,135.0625,686.42578125,150.873016357422,21.609375,20.876953125,66.75,13.4287233352661,57.203125,0
2024-12-06 01:03:00,4.52622413635254,127.283203125,2649.19091796875,1204.18395996094,2561.40576171875,308.370391845703,136.80842590332,5.49545478820801,54.4091567993164,29.7218341827393,896.796875,774.395080566406,1.4957811832428,729.549987792969,134.96875,685.763671875,150.873016357422,21.5078125,20.876953125,67.263671875,13.4328193664551,57.099609375,0
